cell_name cell_style label tags link placeholders tooltip shape x y width height as
0 empty           
1 start           
01_1_T2.1_1 circle Step_01_1_T2.1 NA NA NA NA NA 100 100 NA NA NA
01_2_T2.1_1 circle Step_01_2_T2.1 NA NA NA NA NA 300 100 NA NA NA
01_3_T2.1_1 circle Step_01_3_T2.1 NA NA NA NA NA 500 100 NA NA NA
01_4_T2.1_1 circle Step_01_4_T2.1 NA NA NA NA NA 700 100 NA NA NA
02_1_T2_2 circle Step_02_1_T2 NA NA NA NA NA 100 300 NA NA NA
02_2_T3_2 circle Step_02_2_T3 NA NA NA NA NA 300 300 NA NA NA
03_1_T2_3 circle Step_03_1_T2 NA NA NA NA NA 100 500 NA NA NA
03_2_T2_3 circle Step_03_2_T2 NA NA NA NA NA 300 500 NA NA NA
04_1_T3_4 circle Step_04_1_T3 NA NA NA NA NA 100 700 NA NA NA
04_2_T3_4 circle Step_04_2_T3 NA NA NA NA NA 300 700 NA NA NA
04_3_T3_4 circle Step_04_3_T3 NA NA NA NA NA 500 700 NA NA NA
05_1_T2.2_5 circle Step_05_1_T2.2 NA NA NA NA NA 100 900 NA NA NA
05_2_T2.2_5 circle Step_05_2_T2.2 NA NA NA NA NA 300 900 NA NA NA
05_3_T2_5 circle Step_05_3_T2 NA NA NA NA NA 500 900 NA NA NA
05_4_QC_5 circle Step_05_4_QC NA NA NA NA NA 700 900 NA NA NA
05_5_QC_5 circle Step_05_5_QC NA NA NA NA NA 900 900 NA NA NA
05_6_T2.2_5 circle Step_05_6_T2.2 NA NA NA NA NA 1100 900 NA NA NA
05_7_T2.2_5 circle Step_05_7_T2.2 NA NA NA NA NA 1300 900 NA NA NA
05_8_T2.3_5 circle Step_05_8_T2.3 NA NA NA NA NA 1500 900 NA NA NA
05_9_T2.3_5 circle Step_05_9_T2.3 NA NA NA NA NA 1700 900 NA NA NA
05_12_T2.2_5 circle Step_05_12_T2.2 NA NA NA NA NA 1900 900 NA NA NA
05_13_T2.2_5 circle Step_05_13_T2.2 NA NA NA NA NA 2100 900 NA NA NA
05_14_T2.2_5 circle Step_05_14_T2.2 NA NA NA NA NA 2300 900 NA NA NA
05_15_T2.2_5 circle Step_05_15_T2.2 NA NA NA NA NA 2500 900 NA NA NA
05_16_T2.3_5 circle Step_05_16_T2.3 NA NA NA NA NA 2700 900 NA NA NA
06_1_T2_6 circle Step_06_1_T2 NA NA NA NA NA 100 1100 NA NA NA
06_2_T2.2_6 circle Step_06_2_T2.2 NA NA NA NA NA 300 1100 NA NA NA
06_3_T2.2_6 circle Step_06_3_T2.2 NA NA NA NA NA 500 1100 NA NA NA
06_4_T2.3_6 circle Step_06_4_T2.3 NA NA NA NA NA 700 1100 NA NA NA
06_5_T2.3_6 circle Step_06_5_T2.3 NA NA NA NA NA 900 1100 NA NA NA
06_6_T2_6 circle Step_06_6_T2 NA NA NA NA NA 1100 1100 NA NA NA
06_7_children_6 circle Step_06_7_children NA NA NA NA NA 1300 1100 NA NA NA
06_8_T2.2_6 circle Step_06_8_T2.2 NA NA NA NA NA 1500 1100 NA NA NA
06_9_T2.2_6 circle Step_06_9_T2.2 NA NA NA NA NA 1700 1100 NA NA NA
06_10_T2.3_6 circle Step_06_10_T2.3 NA NA NA NA NA 1900 1100 NA NA NA
06_11_T2.3_6 circle Step_06_11_T2.3 NA NA NA NA NA 2100 1100 NA NA NA
06_12_children_6 circle Step_06_12_children NA NA NA NA NA 2300 1100 NA NA NA
07_9_T3_7 circle Step_07_9_T3 NA NA NA NA NA 100 1300 NA NA NA
07_10_T3_7 circle Step_07_10_T3 NA NA NA NA NA 300 1300 NA NA NA
08_2_T4_8 circle Step_08_2_T4 NA NA NA NA NA 100 1500 NA NA NA
09_4_T3_9 circle Step_09_4_T3 NA NA NA NA NA 100 1700 NA NA NA
11_2_T4_11 circle Step_11_2_T4 NA NA NA NA NA 100 2100 NA NA NA
06_13_Poisson_6 circle Step_06_13_Poisson NA NA NA NA NA 2500 1100 NA NA NA
07_11_T3_7 circle Step_07_11_T3 NA NA NA NA NA 500 1300 NA NA NA
07_12_T3_7 circle Step_07_12_T3 NA NA NA NA NA 700 1300 NA NA NA
NA_conceptsetdataset yellow conceptsetdataset NA NA NA NA NA 100 200 NA NA NA
NA_output_spells_category yellow output_spells_category NA NA NA NA NA 300 200 NA NA NA
NA_D3_PERSONS yellow D3_PERSONS NA NA NA NA NA 500 200 NA NA NA
NA_D3_events_DEATH yellow D3_events_DEATH NA NA NA NA NA 700 200 NA NA NA
NA_itemsetdataset yellow itemsetdataset NA NA NA NA NA 900 200 NA NA NA
NA_promptsetdataset yellow promptsetdataset NA NA NA NA NA 1100 200 NA NA NA
NA_D3_concepts_QC_criteria yellow D3_concepts_QC_criteria NA NA NA NA NA 100 400 NA NA NA
NA_selected_doses yellow selected_doses NA NA NA NA NA 300 400 NA NA NA
NA_Flowchart_QC_criteria yellow Flowchart_QC_criteria NA NA NA NA NA 500 400 NA NA NA
NA_D3_selection_criteria yellow D3_selection_criteria NA NA NA NA NA 100 600 NA NA NA
NA_persons_doses yellow persons_doses NA NA NA NA NA 300 600 NA NA NA
NA_D4_study_population yellow D4_study_population NA NA NA NA NA 100 800 NA NA NA
NA_Flowchart_basic_exclusion_criteria yellow Flowchart_basic_exclusion_criteria NA NA NA NA NA 300 800 NA NA NA
NA_Flowchart_exclusion_criteria yellow Flowchart_exclusion_criteria NA NA NA NA NA 500 800 NA NA NA
NA_Flowchart_doses yellow Flowchart_doses NA NA NA NA NA 700 800 NA NA NA
NA_number_criteria_excluded.csv yellow number_criteria_excluded.csv NA NA NA NA NA 900 800 NA NA NA
NA_D3_components_OUTCOME_type yellow D3_components_OUTCOME_type NA NA NA NA NA 100 1000 NA NA NA
NA_D3_events_OUTCOME_type yellow D3_events_OUTCOME_type NA NA NA NA NA 300 1000 NA NA NA
NA_D3_events_COVID_narrow yellow D3_events_COVID_narrow NA NA NA NA NA 500 1000 NA NA NA
